count, timings
699, 2020-07-01 23:58:34.268886
700, 2020-07-01 23:58:45.362822
701, 2020-07-01 23:58:51.340334
702, 2020-07-01 23:59:02.531591
703, 2020-07-01 23:59:08.584541
704, 2020-07-01 23:59:19.689134
705, 2020-07-01 23:59:25.715705
706, 2020-07-01 23:59:36.893759
707, 2020-07-01 23:59:42.850789
708, 2020-07-01 23:59:53.996673
709, 2020-07-02 00:00:00.037382
710, 2020-07-02 00:00:11.211151
711, 2020-07-02 00:00:17.196290
712, 2020-07-02 00:00:28.394275
713, 2020-07-02 00:00:34.435127
714, 2020-07-02 00:00:45.628113
715, 2020-07-02 00:00:51.629650
716, 2020-07-02 00:01:02.742656
717, 2020-07-02 00:01:08.797397
718, 2020-07-02 00:01:19.942888
719, 2020-07-02 00:01:25.971852
720, 2020-07-02 00:01:37.159717
721, 2020-07-02 00:01:43.130064
722, 2020-07-02 00:01:54.277822
723, 2020-07-02 00:02:00.311660
724, 2020-07-02 00:02:11.414446
725, 2020-07-02 00:02:17.459151
726, 2020-07-02 00:02:28.584275
727, 2020-07-02 00:02:34.602315
728, 2020-07-02 00:02:45.772848
729, 2020-07-02 00:02:51.793050
730, 2020-07-02 00:03:03.010541
731, 2020-07-02 00:03:09.010768
732, 2020-07-02 00:03:20.143643
733, 2020-07-02 00:03:26.054386
734, 2020-07-02 00:03:37.292196
735, 2020-07-02 00:03:43.233408
